English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
Rotational Invariance,The ability of an algorithm to properly classify images regardless of the change in their orientation.,انعدام تأثير الدوران,قدرة الخوارزمية على تصنيف الصور تصنيفًا صحيحًا، بغضِّ النظر عن التغيّر في اتجاهها.,Invariance rotationnelle,"Capacité d’un algorithme à classifier correctement des images, indépendamment de leur changement d’orientation.",,
Rule-Based Chatbot,"See ""Flow-Based Chatbot.""",بوت محادثة قائم على قواعد,"انظر ""بوت محادثة موجَّه"".",Chatbot à règles,"Voir "" Chatbot basé sur des flux"".",,
Rule-Based System,"An expert system that consists of ""if-then"" rules built by learning from real data or using expert knowledge.",نظام قائم على قواعد,نظام خبير يتضمن قواعد شرطية بُنيت بالتعلُّم من بيانات حقيقية أو باستخدام معرفة الخبراء.,Système à base de règles,"Système expert composé de règles "" si… alors "" élaborées à partir de l’apprentissage de données réelles ou de connaissances d’experts",,
Safety,The freedom from the unacceptable risks.,سلامة,الخلو من المخاطر غير المقبولة.,Sécurité (sûreté),Absence de risques inacceptables.,,
Sample,A data element that a machine learning algorithm can process.,عينة,عنصر بيانات يمكن لخوارزمية تعلُّم الآلة معالجته.,Échantillon,Un élément de données qu’un algorithme d’apprentissage automatique peut traiter.,,
Sample Size,The number of individual observations that represents a population in an experiment.,حجم العينة,عدد المشاهدات الفردية التي تُمثِّل المجموعة في التجربة.,Taille d’échantillon,Le nombre d’observations individuelles représentant une population dans une expérience.,,
Sampling Bias,A type of selection bias in which the data is not randomly collected.,تحيُّز أخذ العيِّنات,نوع من تحيُّز الاختيار لا تُجمع فيه البيانات عشوائيًّا.,Biais d’échantillonnage,Un type de biais de sélection dans lequel les données ne sont pas collectées de manière aléatoire.,,
Scalability,The ability of a system to deal with an increased amount of work.,قابلية التوسع,قدرة النظام على التعامل مع كمية العمل المتزايدة.,Scalabilité,Capacité d’un système à supporter une charge accrue.,,
Scale Invariance,The ability of a model to maintain consistent behavior regardless of the input size.,انعدام تأثير الحجم,قدرة النموذج على الحفاظ على سلوك متسق بغض النظر عن حجم المُدْخَلات.,Invariance d’échelle,"Capacité d’un modèle à conserver un comportement cohérent, quelle que soit la taille de l’entrée.",,
Scatter-Gather,A form of large data processing that distributes required computation across different nodes and then combines overall results from each node.,توزيع-تجميع,نوع من معالجة البيانات الكبيرة يُوزِّع الحوسبة المطلوبة عبر عُقَد مختلفة، ثم يُجمِّع النتائج الإجمالية من كل عقدة.,Scatter-gather,Forme de traitement de données massives qui répartit les calculs nécessaires entre différents nœuds puis combine les résultats produits par chacun d’eux.,,
Scikit-Learn,A popular open-source Python library for machine learning.,سايكيت-ليرن,مكتبة شهيرة مفتوحة المصدر تُستخدم في تعلُّم الآلة، مكتوبة بلغة بايثون.,Scikit-learn,Une bibliothèque Python open source très populaire pour l’apprentissage automatique.,,
Scoring,A recommendation system part that assigns a ranking to each item created by the candidate generation process.,تقييم,جزء من نظام التوصية يُعيّن ترتيبًا لكل عنصر أُنشئ بواسطة عملية توليد الترشيحات.,Scorage,Une composante d’un système de recommandation qui attribue un classement à chaque élément généré lors du processus de génération des candidats.,,
Search Query,A word or string of words that a user enters into a search engine to find content.,استعلام بحثي,كلمة أو مجموعة من الكلمات التي يدخلها المستخدم في مُحَرِّك البحث للعثور على محتوى.,Requête de recherche,Un mot ou une chaîne de mots qu’un utilisateur saisit dans un moteur de recherche pour trouver du contenu.,,
Security,A degree to which a system protects data and information by allowing appropriate data access based on authorization levels.,أمن,الدرجة التي يحمي بها النظام البيانات والمعلومات، عن طريق السماح بالوصول المناسب إلى البيانات بناءً على مستويات التفويض.,Sécurité,Le degré auquel un système protège les données et les informations en permettant un accès approprié aux données selon les niveaux d’autorisation.,,
Selection Bias,A bias in the selection of data that is used in training machine learning models.,تحيُّز الاختيار,تحيُّز في اختيار البيانات المستخدمة في تدريب نماذج تعلُّم الآلة.,Biais de sélection,Un biais dans la sélection des données utilisées pour entraîner les modèles d’apprentissage automatique.,,
Selective Filtering,The process of ignoring noisy data to concentrate on important data.,تصفية انتقائية,عملية تجاهل البيانات المشوِّشة من أجل التركيز على البيانات المهمة.,Filtrage sélectif,Le processus consistant à ignorer les données bruitées pour se concentrer sur les données importantes.,,
Self-Attention (or Self-Attention Layer),A neural network layer that outputs new sequence of embeddings by applying attention mechanism to the information from the elements of the input sequence.,انتباه ذاتي (أو طبقة الانتباه الذاتي),طبقة في الشبكة العصبية تُخرج تسلسلًا جديدًا من التضمينات، عن طريق تطبيق آلية الانتباه على المعلومات الواردة من عناصر تسلسل المُدْخَلات.,Auto-attention,Une couche de réseau neuronal qui génère une nouvelle séquence d’embeddings en appliquant un mécanisme d’attention aux informations provenant des éléments de la séquence d’entrée.,,
Self-Aware Artificial Intelligence,"A theoretical form of AI that possesses consciousness, awareness of its existence, and the ability to understand its thoughts, emotions, and environment.",ذكاء اصطناعي واعٍ بذاته,تصور نظري لذكاء اصطناعي لديه إدراك ووعي بوجوده، وقادر على فهم أفكاره وعواطفه وبيئته.,IA auto-consciente,"Une forme théorique d’intelligence artificielle qui possède une conscience, une conscience de sa propre existence, ainsi que la capacité de comprendre ses pensées, ses émotions et son environnement.",,
Self-Consistency Prompting,A prompt engineering technique that improves the accuracy of models by generating multiple responses to the same prompt and selecting the most frequent or consistent one as the final answer.,أوامر الاتساق الذاتي,أسلوب في هندسة الأوامر يُحسِّن دقة النماذج، عن طريق إنشاء استجابات متعددة لنفس الأمر، واختيار الإجابة الأكثر تكرارًا أو اتساقًا لتكون الإجابة النهائية.,"""Prompt"" auto-cohérente ou instruction auto-cohérente","Une technique de conception d’instructions qui améliore la précision des modèles en générant plusieurs réponses au même ""prompt"" ou instruction, puis en sélectionnant comme réponse finale celle qui est la plus fréquente ou la plus cohérente.",,
Self-Criticism Prompting,"See ""Self-Refine Prompting.""",أوامر النقد الذاتي,"انظر ""أوامر التحسين الذاتي"".","Méthode de ""prompting"" basée sur l’auto-critique ou Instruction d’auto-critique","Voir "" Instructions auto-améliorées "".",,
Self-Driving Car,"A car capable of sensing its surroundings and moving independently and self-sufficiently. Also called ""Driverless Car"" or ""Autonomous Car.""",سيارة ذاتية القيادة,"سيارة قادرة على استشعار محيطها والتحرك بتحكم واكتفاء ذاتي. ويُطلق عليها أيضًا ""سيارة بدون سائق"" أو ""سيارة ذاتية التحكم"".",Voiture autonome,Une voiture capable de percevoir son environnement et de se déplacer de manière autonome et indépendante. On l’appelle aussi “voiture sans conducteur” ou “voiture autonome”.,,
Self-Instruct,A method for improving a model's ability to follow natural language instructions by generating its instruction-following data.,إرشاد ذاتي,طريقة لتحسين قدرة النماذج على اتباع تعليمات اللغات الطبيعية، عن طريق توليد بيانات اتباع التعليمات بنفسها.,Self-Instruct,"Une méthode visant à améliorer la capacité d’un modèle à suivre des instructions en langage naturel, en générant ses propres données d’instruction.",,
Self-Labeling,A type of semi-supervised learning methods that train a model on labeled data and then use this model to assign pseudo labels to unlabeled data.,تسمية ذاتية,نوع من طُرُق التعلُّم الشبه الموجَّه يُدرِّب نموذجًا على بيانات مُسمَّاة، ثم يستخدمه لإعطاء أسماء مستعارة للبيانات غير المُسمَّاة.,Auto-étiquetage,"Un type de méthode d’apprentissage semi-supervisé qui entraîne un modèle sur des données annotées, puis utilise ce modèle pour attribuer des pseudo-étiquettes à des données non annotées.",,
Self-Refine Prompting,"A prompt engineering technique that allows a model to improve its outputs through an iterative process of feedback and refinement. Also called ""Self-Criticism Prompting.""",أوامر التحسين الذاتي,"أسلوب في هندسة الأوامر يُتيح للنموذج تحسين مخرجاته، عن طريق عملية تكرارية من التغذية الراجعة والتحسين. يُطلق عليه أيضًا ""أوامر النقد الذاتي"".","""Self-Refine Prompting"" ou instructions auto-améliorées","Une technique d'ingénierie de ""prompts"" ou d'instructions qui permet à un modèle d’améliorer ses réponses grâce à un processus itératif de rétroaction et d’ajustements. Aussi appelée "" Self-Criticism Prompting "".",,
Self-Supervised Learning,A type of machine learning that uses unlabeled data to learn features by adopting self-defined pseudo-labels for the supervision.,تعلُّم ذاتي التوجيه,نوع من تعلُّم الآلة يستخدم بيانات غير مُسمَّاة لتعلُّم الخصائص؛ وذلك بالاعتماد على أسماء مستعارة محددة بصورة ذاتية في عملية التوجيه.,Apprentissage auto-supervisé,Un type d’apprentissage automatique qui utilise des données non annotées pour apprendre des caractéristiques en générant ses propres pseudo-étiquettes servant à la supervision.,,
Self-Training,A self-supervised learning method used in classification when the unlabeled data is more than labeled data.,تدريب ذاتي,طريقة تعلُّم ذاتي التوجيه تُستخدم في التصنيف عندما تكون البيانات غير المُسمَّاة أكثر من البيانات المُسمَّاة.,Auto-apprentissage,Une méthode d’apprentissage auto-supervisé utilisée en classification lorsque les données non étiquetées sont plus nombreuses que les données étiquetées.,,
Semantic Chunking,"The process of dividing a large text into smaller, meaningful units based on their underlying meaning or context.",تقطيع دلالي,عملية تقسيم نص كبير إلى وحدات أصغر ذات معنى بناءً على معناها أو سياقها الأساسي.,Découpage sémantique,"Le processus qui consiste à découper un texte volumineux en unités plus petites et significatives, en fonction de leur sens ou de leur contexte.",,
Semantic Computing,"A computing field that focuses on understanding, representing, and processing data based on its meaning and context.",حوسبة دلالية,مجال حوسبي يركز على فهم البيانات وتمثيلها ومعالجتها بناءً على معناها وسياقها.,Informatique sémantique,"Un domaine informatique axé sur la compréhension, la représentation et le traitement des données en fonction de leur signification et de leur contexte.",,
Semantic Mapping,The process of establishing meaningful relationships and connections between data elements from different sources.,هيكلة دلالية,عملية إنشاء علاقات وروابط ذات معنى بين عناصر البيانات من مصادر مختلفة.,Cartographie sémantique,Le processus qui consiste à établir des relations et des correspondances significatives entre des éléments de données provenant de différentes sources.,,
Semantic Network,"See ""Knowledge Graph.""",شبكة دلالية,"انظر ""شبكة معرفية"".",Réseau sémantique,"Voir "" Graphe de connaissance "".",,
Semantic Reasoner,A piece of software used to draw logical consequences from a set of confirmed facts and axioms.,مُستدِل دلالي,برمجيات تُستخدم لاستخلاص النتائج المنطقية من مجموعة من الحقائق والبديهيات المؤكدة.,Moteur d’inférence sémantique,Un logiciel permettant de déduire des conséquences logiques à partir d’un ensemble de faits et d’axiomes confirmés.,,
Semantic Search,A search technique that understands the contextual meaning of a user's query to deliver more relevant and accurate results.,بحث دلالي,أسلوب بحث يفهم المعنى السياقي لاستعلام المستخدم لتقديم نتائج أكثر صلة ودقة.,Recherche sémantique,"Une technique de recherche qui comprend le sens contextuel d’une requête utilisateur afin de fournir des résultats plus pertinents et précis.

",,
Semantic Web,"An extension of the World Wide Web (ًWWW) to enable sharing and reusing data across applications by defining data stores, vocabularies, and rules to handle data.",ويب دلالي,امتداد لشبكة الويب العالمية لتمكين مشاركة البيانات وإعادة استخدامها عبر التطبيقات، عن طريق تحديد مخازن البيانات والمفردات وقواعد التعامل مع البيانات.,Web sémantique,"Une extension du ""World Wide Web"" qui permet le partage et la réutilisation des données entre différentes applications, en définissant des espaces de stockage, des vocabulaires et des règles de traitement des données.",,
Semi-Structured Data,"The data that does not conform to a rigid structure but still has some organizational properties. Also called ""Partially Structured Data.""",بيانات شبه مهيكلة,"البيانات التي لا تخضع لهيكل ثابت، ولكن لها بعض الخصائص التنظيمية. ويُطلق عليها أيضًا ""بيانات مهيكلة جزئيًّا"".",Données semi-structurées,"Des données qui ne suivent pas une structure rigide, mais qui possèdent tout de même certaines propriétés organisationnelles. On les appelle aussi “données partiellement structurées”.",,
Semi-Supervised Anomaly Detection,A technique used to identify unusual patterns within a dataset by using both labeled and unlabeled data.,اكتشاف الشذوذ شبه الموجَّه,أسلوب يُستخدم لتحديد الأنماط غير المعتادة داخل مجموعة البيانات باستخدام البيانات المُسمَّاة وغير المُسمَّاة.,Détection d’anomalies semi-supervisée,Une technique qui permet de détecter des motifs atypiques au sein d’un jeu de données en s’appuyant simultanément sur des données étiquetées et non étiquetées.,,
Semi-Supervised Learning,A type of machine learning that leverages both labeled and unlabeled data for training.,تعلُّم شبه موجَّه,نوع من تعلُّم الآلة يستفيد من البيانات المُسمَّاة وغير المُسمَّاة للتدريب.,Apprentissage semi-supervisé,AUn type d’apprentissage automatique qui exploite à la fois des données étiquetées et non étiquetées pour l’entraînement.,,
Sensitive Attribute,A human attribute that has a special consideration for some reasons.,سمة حساسة,سمة بشرية لها اعتبار خاص لبعض الأسباب.,Attribut sensible,Une caractéristique humaine qui bénéficie d’une considération particulière pour certaines raisons.,,
Sensitive Data,The data that may have harmful effects if revealed or misused.,بيانات حساسة,بيانات قد يسبب إفشاؤها أو سوء استخدامها آثارًا ضارة.,Données sensibles,Données susceptibles d’avoir des effets néfastes si divulguées ou mal utilisées.,,
Sensitivity,The rate of how a model correctly predicts positive labels when it is actually positive.,دقة الحساسية,معدل صحة تنبؤ النموذج للأسماء الإيجابية عندما تكون بالفعل كذلك.,Sensibilité,Le taux auquel un modèle prédit correctement les étiquettes positives lorsqu’elles sont effectivement positives. ,,
Sensitivity Analysis,The process of evaluating how the output of a model is affected by changes in its input parameters.,تحليل الحساسية,عملية تقييم كيفية تأثر مخرجات النموذج بالتغيرات في المُعامِلات المُدْخَلة.,Analyse de sensibilité,Le processus consistant à évaluer comment la sortie d’un modèle est affectée par des variations de ses paramètres d’entrée.,,
Sentiment Analysis,A process of using statistical or machine learning algorithms to determine feelings and opinions in a text or an image.,تحليل المشاعر,عملية استخدام الخوارزميات الإحصائية أو خوارزميات تعلُّم الآلة لتحديد المشاعر والآراء المضمنة في نص أو صورة.,Analyse de sentiments,Un processus qui utilise des algorithmes statistiques ou d’apprentissage automatique pour déterminer les sentiments et les opinions présents dans un texte ou une image.,,
Sequence Model,A model that has inputs with a sequential dependence.,نموذج تسلسلي,نموذج يشتمل على مُدْخَلات ذات اعتماد متسلسل.,Modèle séquentiel,Un modèle dont les entrées présentent une dépendance séquentielle.,,
Sequence-To-Sequence (Seq2Seq),A type of neural network architecture designed to transform one sequence of data into another.,تحويل تسلسل إلى تسلسل,نوع من معمارية الشبكة العصبية مصمم لتحويل تسلسل من البيانات إلى تسلسل آخر.,Séquence-à-séquence ,Un type d’architecture de réseau neuronal conçu pour transformer une séquence de données en une autre.,,
Service Robot,A robot that can perform useful tasks for humans or equipment except the industrial automation applications.,روبوت خدمي,روبوت يمكنه أداء مهام مفيدة للبشر أو المعدات باستثناء تطبيقات الأتمتة الصناعية.,Robot de service,"Un robot capable d’effectuer des tâches utiles pour les humains ou pour des équipements, à l’exception des applications d’automatisation industrielle.",,
Shallow Learning,A type of machine learning algorithms that typically have a single layer or a limited number of layers for learning and data representation.,تعلُّم سطحي,نوع من خوارزميات تعلُّم الآلة يحتوي عادةً على طبقة واحدة أو عدد محدود من الطبقات للتعلُّم وتمثيل البيانات.,Apprentissage peu profond,Un type d’algorithme d’apprentissage automatique généralement constitué d’une seule couche ou d’un nombre limité de couches pour l’apprentissage et la représentation des données.,,
Short-Term Memory,A memory that allows a model to retain and utilize information within the context of a single conversation or session.,ذاكرة قصيرة المدى,ذاكرة تُتيح للنموذج الاحتفاظ بالمعلومات واستخدامها في سياق محادثة أو جلسة واحدة.,Mémoire à court terme,Une mémoire qui permet à un modèle de conserver et d’utiliser des informations dans le cadre d’une seule conversation ou session.,,
Siamese Network,A neural network used for image classification by training two neural networks to learn simultaneously the similarity between images.,شبكة سيامية,شبكة عصبية تُستخدم لتصنيف الصور عن طريق تدريب شبكتين عصبيتين في وقت واحد لتعلُّم التشابه بين الصور.,Réseau siamois,Réseau neuronal utilisé pour la classification d’images en entraînant simultanément deux réseaux neuronaux à apprendre la similarité entre les images.,,
Sigmoid Function,A function that maps the output of logistic or multinomial regression to probabilities with a value between 0 and 1.,دالة سيجمويد,دالة تُعيّن مخرجات الانحدار اللوجستي أو المتعدد الحدود إلى احتمالات قيمتها بين الصفر والواحد.,Fonction sigmoïde,Une fonction qui convertit la sortie d’une régression logistique ou multinomiale en probabilités comprises entre 0 et 1.,,
Signal Processing,"ِAn engineering field that focuses on analyzing and manipulating signals such as audios, images, and videos.",معالجة الإشارات,مجال هندسي يركز على تحليل الإشارات ومعالجتها، مثل: الصوتيات والصور والفيديوهات.,Traitement du signal,"Un domaine de l’ingénierie qui se concentre sur l’analyse et la manipulation des signaux tels que l’audio, les images et les vidéos.",,
Silhouette Coefficient,A metric used to evaluate the quality of clustering by measuring how similar an object is to its cluster compared to other clusters.,مُعامِل الظل,مقياس يُستخدم لتقييم جودة التجميع، عن طريق قياس مدى تشابه الشيء مع مجموعته مقارنة بالمجموعات الأخرى.,Coefficient de silhouette,Une métrique utilisée pour évaluer la qualité du clustering en mesurant à quel point un objet est similaire aux éléments de son propre cluster par rapport à ceux d’autres clusters.,,
Similarity Learning,A type of supervised machine learning that trains a metric to find the similarity between two objects.,تعلُّم التشابه,نوع من تعلُّم الآلة الموجَّه يُدرِّب مقياسًا للعثور على التشابه بين شيئين.,Apprentissage de similarité,Un type d’apprentissage supervisé qui entraîne une fonction métrique permettant de trouver la similarité entre deux objets.,,
Similarity Measure,A metric used in clustering algorithms to evaluate how similar two examples are.,قياس التشابه,مقياس يُستخدم في خوارزميات التجميع لتقييم مدى تشابه مثالين.,Mesure de similarité,Une métrique utilisée dans les algorithmes de clustering pour évaluer la similarité entre deux exemples.,,
Single Linkage,A clustering method that defines the distance between two clusters as the shortest distance between any two data points from each cluster.,ربط أحادي,طريقة تجميع تحدد المسافة بين مجموعتين، عن طريق أقصر مسافة بين أي نقطتي بيانات من كل مجموعة.,Lien simple,Une méthode de regroupement qui définit la distance entre deux clusters comme la distance la plus courte entre n’importe quels deux points de données appartenant à chacun des clusters.,,
Singularity,"See ""Intelligence Explosion.""",تفرُّد,"انظر ""طفرة الذكاء"".",Singularité technologique,"Voir "" Explosion d'intelligence "".",,
Small Language Model (SLM),A type of language model designed to operate with fewer parameters and computational resources compared to large language models (LLMs).,نموذج لغوي صغير,نوع من النماذج اللغوية مصمم للعمل بمُعامِلات وموارد حوسبية أقل مقارنة بالنماذج اللغوية الكبيرة.,Petit modèle de langage ,Un type de modèle de langage conçu pour fonctionner avec moins de paramètres et moins de ressources computationnelles que les grands modèles de langage (LLMs).,,
Social Media Data,The data that the users publicly share on social media.,بيانات وسائل التواصل الاجتماعي,البيانات التي يشاركها المستخدمون علنًا على وسائل التواصل الاجتماعي.,Données des médias sociaux,Les données que les utilisateurs partagent publiquement sur les réseaux sociaux.,,
Soft Computing,A set of computational techniques that deals with approximate models and provides effective solutions to complex problems.,حوسبة ناعمة,مجموعة من الأساليب الحوسبية التي تتعامل مع النماذج التقريبية، وتُقدِّم حلولًا فاعلة للمشكلات المعقدة.,Calcul souple,Un ensemble de techniques computationnelles fondées sur des modèles approximatifs et visant à fournir des solutions efficaces à des problèmes complexes.,,
Soft Prompting,A technique to enhance the output of a pre-trained model by adding non-textual embeddings to the input embeddings.,أوامر ناعمة,أسلوب لتحسين مخرجات نموذج مُدرَّب سابقًا، عن طريق إضافة تضمينات غير نصية إلى تضمينات المُدْخَلات.,"""Prompt"" souple ou instruction souple",Une technique qui améliore la sortie d’un modèle pré-entraîné en ajoutant des embeddings non textuels aux embeddings d’entrée.,,
Softmax,A function that gives a probability for each class in a multi-class classification model.,سوفت ماكس,دالة تعطي احتمالية لكل صنف في نموذج تصنيف متعدد الأصناف.,Softmax,Une fonction qui attribue une probabilité à chaque classe dans un modèle de classification multi-classes.,,
Software,A set of instructions that directs a computer to perform specific tasks.,برمجيات,مجموعة من التعليمات التي تُوجِّه الحاسب لأداء مهام محددة.,Logiciel,Un ensemble d’instructions qui indique à un ordinateur comment exécuter des tâches spécifiques.,,
Software Development Kit (SDK),A set of software development tools that enable the creation of applications on a particular platform.,أدوات تطوير البرمجيات,مجموعة من أدوات تطوير البرمجيات التي تتيح إنشاء تطبيقات على منصة معينة.,Kit de développement logiciel,Un ensemble d’outils de développement logiciel qui permettent de créer des applications sur une plateforme donnée.,,
Solomonoff Probability,"See ""Algorithmic Probability.""",احتمالية سولومونوف,"انظر ""احتمال خوارزمي"".",Probabilité de Solomonoff,"Voir "" Probabilité Algorithmique"".",,
SPARQL Protocol and RDF Query Language (SPARQL),A query language for accessing and manipulating resource description framework data.,سباركل,لغة استعلام للوصول إلى بيانات إطار وصف الموارد ومعالجتها.,SPARQL,Un langage de requête permettant d’accéder aux données du Cadre de description des ressources et de les manipuler.,,
Sparse Feature,A feature vector that has mostly zero or empty values.,خاصية متناثرة,مُتَّجه خصائص تكون أغلب قيمه صفرية أو فارغة.,Caractéristique clairsemée,Un vecteur de caractéristiques contenant principalement des valeurs nulles ou vides.,,
Sparse Representation,A representation that only contains non-zero elements.,تمثيل متناثر,تمثيل يشتمل فقط على عناصر غير صفرية.,Représentation clairsemée,Représentation ne contenant que des éléments non nuls.,,
Sparse Vector,A vector that has mostly zero values.,مُتَّجه متناثر,مُتَّجه تكون أغلب قيمه صفرية.,Vecteur clairsemé,Vecteur avec une majorité de valeurs nulles.,,
Sparsity,A concept in machine learning that describes a dataset or matrix where a large percentage of the values are zero.,تناثر,مفهوم في تعلُّم الآلة يصف مجموعة بيانات أو مصفوفة أكثر قيمها صفرية.,Parcimonie ,Un concept en apprentissage automatique qui désigne un jeu de données ou une matrice dans lequel une grande partie des valeurs sont nulles. ,,
Spatial Analysis,The study of location-based data to discover patterns and insights.,تحليل مكاني,دراسة البيانات القائمة على الموقع لاكتشاف الأنماط والرؤى.,Analyse spatiale,L’étude des données géolocalisées pour découvrir des motifs et des informations pertinentes.,,
Spatial-Temporal Reasoning,An area of artificial intelligence that is concerned with the representation and reasoning about space and time like a human.,استدلال مكاني-زماني,مجال من مجالات الذكاء الاصطناعي يهتم بالتمثيل والاستدلال في المكان والزمان مثل الإنسان.,Raisonnement spatio-temporel,Un domaine de l’intelligence artificielle qui s’intéresse à la représentation et au raisonnement sur l’espace et le temps de manière similaire à l’humain.,,
Specificity,"The rate of how a model correctly predicts negative labels when it is actually negative. Also called ""True Negative Rate (TPR).""",دقة التحديد,"معدل صحة تنبؤ النموذج للأسماء السلبية عندما تكون بالفعل كذلك. ويُطلق عليه أيضًا ""المعدل السلبي الصحيح"".",Spécificité," Le taux auquel un modèle prédit correctement les étiquettes négatives lorsqu’elles sont réellement négatives. Aussi appelé ""Taux de vrais négatifs""",,
Speculative Decoding,An optimization technique that accelerates inferencing by predicting multiple tokens and validating them in parallel.,فك الترميز التخميني,أسلوب تحسين يُسرِّع الاستنتاج، عن طريق التنبؤ بالوحدات اللغوية والتحقق من صحتها بالتوازي.,Décodage spéculatif,Une technique d’optimisation qui accélère l’inférence en prédisant plusieurs jetons et en les validant en parallèle.,,
Speech Analytics,"The process of analyzing audio recordings to extract insights from spoken language, such as keywords, emotions, and intent.",تحليلات الكلام,عملية تحليل التسجيلات الصوتية لاستخراج رؤى من اللغة المنطوقة، مثل الكلمات الرئيسة والعواطف والنوايا.,Analytique vocale,"Le processus d’analyse d’enregistrements audio afin d’extraire des informations issues du langage parlé, telles que des mots-clés, des émotions ou l’intention.",,
Speech Recognition,"The process of converting speech into text using algorithms. Also called ""Automatic Speech Recognition (ASR)"" or ""Speech-to-Text (STT).""",تعرُّف على الكلام,"عملية تحويل الكلام إلى نص باستخدام الخوارزميات. ويُطلق عليها أيضًا ""تعرُّف تلقائي على الكلام"" أو ""تحويل الكلام إلى نص"".",Reconnaissance vocale,Le processus consistant à convertir la parole en texte à l’aide d’algorithmes. Également appelé “reconnaissance automatique de la parole” ou “conversion parole-en-texte”.,,
Speech Synthesis,"The process of generating artificial human speech. Also called ""Text-to-Speech (TTS).""",توليد الكلام,"عملية توليد الكلام البشري بطريقة اصطناعية. ويُطلق عليها أيضًا ""تحويل النص إلى كلام"".",Synthèse vocale,"Le processus de génération de paroles artificielles humaines. Également appelé “synthèse vocale"". ",,
Speech-to-Text (STT),"See ""Speech Recognition.""",تحويل الكلام إلى نص,"انظر ""تعرُّف على الكلام"".",Parole-vers-texte ,"Voir "" Reconnaissance vocale "".",,
Spiking Neural Network (SNN),A type of neural network that simulates the energy-efficient signal system of the brain where neurons communicate asynchronously through binary values.,شبكة عصبية نبضية,نوع من الشبكات العصبية التي تحاكي نظام الإشارات الموفر للطاقة في الدماغ، وتتواصل فيه الخلايا العصبية بطريقة غير متزامنة، عن طريق القيم الثنائية.,Réseau neuronal impulsionnel ,"Un type de réseau neuronal qui imite le système de signalisation économe en énergie du cerveau, où les neurones communiquent de manière asynchrone via des valeurs binaires. ",,
Squared Hinge Loss,The square of the Hinge Loss output that deals with outliers more strictly than the Hinge Loss.,مربع الخسارة المفصلية,مربع مُخرَج دالة الخسارة المفصلية الذي يتعامل مع القيم الشاذة بطريقة أكثر صرامة من دالة الخسارة المفصلية.,"""Squared Hinge Loss"" ou Perte hinge au carré ","Le carré de la Hinge Loss, une variante qui traite les valeurs aberrantes de manière plus stricte que la Hinge Loss classique.",,
Squared Loss,"A loss function that measures the error between a model's predictions and the actual values by squaring the difference between them. Also called ""L2 Loss.""",مربع الخسارة,"دالة خسارة تقيس الخطأ بين تنبؤات النموذج والقيم الفعلية، عن طريق تربيع الفرق بينهما. ويُطلق عليها أيضًا ""خسارة إل 2"".",Perte quadratique ,"Une fonction de perte qui mesure l’erreur entre les prédictions d’un modèle et les valeurs réelles en calculant le carré de leur différence. Aussi appelée ""L2 Loss "".",,
Stable Diffusion,A deep learning model that generates images from text descriptions by using a diffusion process.,نموذج الانتشار المستقر,نموذج تعلُّم عميق يُولِّد صورًا من أوصاف نصية باستخدام عملية تُعرَف بالانتشار.,Stable Diffusion,Un modèle de deep learning qui génère des images à partir de descriptions textuelles en utilisant un processus de diffusion.,,
Standard Classification,"See ""Classification.”",تصنيف قياسي,"انظر ""تصنيف"".",Classification standard,"Voir "" Classification "".",,
State-Action Value Function,"See ""Q-Function.""",دالة قيمة الحالة-الفعل,"انظر ""دالة كيو"".",Fonction valeur état-action,"Voir "" Fonction Q "".",,
Static Model,A model that is trained once on a fixed dataset and then remains unchanged.,نموذج ثابت,نموذج يُدرَّب مرة واحدة على مجموعة بيانات ثابتة ثم يظل دون تغيير.,Modèle statique,Modèle entraîné une fois sur un jeu fixe puis reste inchangé.,,
Stationarity,A property of data that has a constant distribution over one or more dimensions.,ثبات,خاصية بيانات لها توزيع ثابت على بُعد واحد أو أكثر.,Stationnarité,Une propriété des données dont la distribution reste constante sur une ou plusieurs dimensions.,,
Statistical Classification,A supervised learning approach that trains a model to categorize new unlabeled data based on relevant labeled data.,تصنيف إحصائي,طريقة تعلُّم موجَّه لتدريب النماذج على تصنيف بيانات جديدة غير مُسمَّاة بناءً على بيانات ذات علاقة ومُسمَّاة.,Classification statistique,Une approche d’apprentissage supervisé qui entraîne un modèle à catégoriser de nouvelles données non étiquetées à partir de données étiquetées pertinentes.,,
Statistical Learning,The use of statistical tools to analyze and understand data.,تعلُّم إحصائي,استخدام الأدوات الإحصائية لتحليل البيانات وفهمها.,Apprentissage statistique,Usage d’outils statistiques pour analyser et comprendre les données.,,
Statistical Relational Learning (SRL),A branch of machine learning that combines statistical learning and relational learning to treat uncertainty in data and handle complex relational structures.,تعلُّم علائقي إحصائي,فرع من تعلُّم الآلة يجمع بين التعلُّم الإحصائي والتعلُّم العلائقي لمعالجة عدم التيقن في البيانات والتعامل مع الهياكل العلائقية المعقدة.,Apprentissage relationnel statistique ,Une branche du machine learning qui combine apprentissage statistique et apprentissage relationnel pour gérer l’incertitude des données et les structures relationnelles complexes. ,,
Stemming,The process of reducing words to their base form by removing prefixes and suffixes.,تجذيع,عملية إعادة الكلمات إلى شكلها الأساسي، عن طريق إزالة السوابق واللواحق.,Racinisation,Le processus consistant à réduire les mots à leur forme de base en supprimant les préfixes et les suffixes.,,
