English Term,English Def.,Arabic Term,Arabic Def.
Role Prompting,A prompt engineering technique where the model is instructed to adopt a specific role or persona to shape its generated output and style.,أوامر تعيين الدور,أسلوب لهندسة الأوامر يُوجَّه فيه النموذج لتبني دور أو شخصية محددة من أجل تشكيل مخرجاته وأسلوبه.
Root Mean Square Deviation (RMSD),"See ""Root Mean Squared Error (RMSE).""",جذر متوسط الانحراف التربيعي,"انظر ""جذر متوسط الخطأ التربيعي""."
Root Mean Squared Error (RMSE),"A measure of the difference between predicted values and actual values. Also called ""Root Mean Square Deviation (RMSD).""",جذر متوسط الخطأ التربيعي,"مقياس الفرق بين القيم المتوقعة والقيم الفعلية. ويُطلق عليه أيضًا ""جذر متوسط الانحراف التربيعي""."
Rotational Invariance,The ability of an algorithm to properly classify images regardless of the change in their orientation.,انعدام تأثير الدوران,قدرة الخوارزمية على تصنيف الصور تصنيفًا صحيحًا، بغضِّ النظر عن التغيّر في اتجاهها.
Rule-Based Chatbot,"See ""Flow-Based Chatbot.""",بوت محادثة قائم على قواعد,"انظر ""بوت محادثة موجَّه""."
Rule-Based System,"An expert system that consists of ""if-then"" rules built by learning from real data or using expert knowledge.",نظام قائم على قواعد,نظام خبير يتضمن قواعد شرطية بُنيت بالتعلُّم من بيانات حقيقية أو باستخدام معرفة الخبراء.
Safety,The freedom from the unacceptable risks.,سلامة,الخلو من المخاطر غير المقبولة.
Sample,A data element that a machine learning algorithm can process.,عينة,عنصر بيانات يمكن لخوارزمية تعلُّم الآلة معالجته.
Sample Size,The number of individual observations that represents a population in an experiment.,حجم العينة,عدد المشاهدات الفردية التي تُمثِّل المجموعة في التجربة.
Sampling Bias,A type of selection bias in which the data is not randomly collected.,تحيُّز أخذ العيِّنات,نوع من تحيُّز الاختيار لا تُجمع فيه البيانات عشوائيًّا.
Scalability,The ability of a system to deal with an increased amount of work.,قابلية التوسع,قدرة النظام على التعامل مع كمية العمل المتزايدة.
Scale Invariance,The ability of a model to maintain consistent behavior regardless of the input size.,انعدام تأثير الحجم,قدرة النموذج على الحفاظ على سلوك متسق بغض النظر عن حجم المُدْخَلات.
Scatter-Gather,A form of large data processing that distributes required computation across different nodes and then combines overall results from each node.,توزيع-تجميع,نوع من معالجة البيانات الكبيرة يُوزِّع الحوسبة المطلوبة عبر عُقَد مختلفة، ثم يُجمِّع النتائج الإجمالية من كل عقدة.
Scikit-Learn,A popular open-source Python library for machine learning.,سايكيت-ليرن,مكتبة شهيرة مفتوحة المصدر تُستخدم في تعلُّم الآلة، مكتوبة بلغة بايثون.
Scoring,A recommendation system part that assigns a ranking to each item created by the candidate generation process.,تقييم,جزء من نظام التوصية يُعيّن ترتيبًا لكل عنصر أُنشئ بواسطة عملية توليد الترشيحات.
Search Query,A word or string of words that a user enters into a search engine to find content.,استعلام بحثي,كلمة أو مجموعة من الكلمات التي يدخلها المستخدم في مُحَرِّك البحث للعثور على محتوى.
Security,A degree to which a system protects data and information by allowing appropriate data access based on authorization levels.,أمن,الدرجة التي يحمي بها النظام البيانات والمعلومات، عن طريق السماح بالوصول المناسب إلى البيانات بناءً على مستويات التفويض.
Selection Bias,A bias in the selection of data that is used in training machine learning models.,تحيُّز الاختيار,تحيُّز في اختيار البيانات المستخدمة في تدريب نماذج تعلُّم الآلة.
Selective Filtering,The process of ignoring noisy data to concentrate on important data.,تصفية انتقائية,عملية تجاهل البيانات المشوِّشة من أجل التركيز على البيانات المهمة.
Self-Attention (or Self-Attention Layer),A neural network layer that outputs new sequence of embeddings by applying attention mechanism to the information from the elements of the input sequence.,انتباه ذاتي (أو طبقة الانتباه الذاتي),طبقة في الشبكة العصبية تُخرج تسلسلًا جديدًا من التضمينات، عن طريق تطبيق آلية الانتباه على المعلومات الواردة من عناصر تسلسل المُدْخَلات.
Self-Aware Artificial Intelligence,"A theoretical form of AI that possesses consciousness, awareness of its existence, and the ability to understand its thoughts, emotions, and environment.",ذكاء اصطناعي واعٍ بذاته,تصور نظري لذكاء اصطناعي لديه إدراك ووعي بوجوده، وقادر على فهم أفكاره وعواطفه وبيئته.
Self-Consistency Prompting,A prompt engineering technique that improves the accuracy of models by generating multiple responses to the same prompt and selecting the most frequent or consistent one as the final answer.,أوامر الاتساق الذاتي,أسلوب في هندسة الأوامر يُحسِّن دقة النماذج، عن طريق إنشاء استجابات متعددة لنفس الأمر، واختيار الإجابة الأكثر تكرارًا أو اتساقًا لتكون الإجابة النهائية.
Self-Criticism Prompting,"See ""Self-Refine Prompting.""",أوامر النقد الذاتي,"انظر ""أوامر التحسين الذاتي""."
Self-Driving Car,"A car capable of sensing its surroundings and moving independently and self-sufficiently. Also called ""Driverless Car"" or ""Autonomous Car.""",سيارة ذاتية القيادة,"سيارة قادرة على استشعار محيطها والتحرك بتحكم واكتفاء ذاتي. ويُطلق عليها أيضًا ""سيارة بدون سائق"" أو ""سيارة ذاتية التحكم""."
Self-Instruct,A method for improving a model's ability to follow natural language instructions by generating its instruction-following data.,إرشاد ذاتي,طريقة لتحسين قدرة النماذج على اتباع تعليمات اللغات الطبيعية، عن طريق توليد بيانات اتباع التعليمات بنفسها.
Self-Labeling,A type of semi-supervised learning methods that train a model on labeled data and then use this model to assign pseudo labels to unlabeled data.,تسمية ذاتية,نوع من طُرُق التعلُّم الشبه الموجَّه يُدرِّب نموذجًا على بيانات مُسمَّاة، ثم يستخدمه لإعطاء أسماء مستعارة للبيانات غير المُسمَّاة.
Self-Refine Prompting,"A prompt engineering technique that allows a model to improve its outputs through an iterative process of feedback and refinement. Also called ""Self-Criticism Prompting.""",أوامر التحسين الذاتي,"أسلوب في هندسة الأوامر يُتيح للنموذج تحسين مخرجاته، عن طريق عملية تكرارية من التغذية الراجعة والتحسين. يُطلق عليه أيضًا ""أوامر النقد الذاتي""."
Self-Supervised Learning,A type of machine learning that uses unlabeled data to learn features by adopting self-defined pseudo-labels for the supervision.,تعلُّم ذاتي التوجيه,نوع من تعلُّم الآلة يستخدم بيانات غير مُسمَّاة لتعلُّم الخصائص؛ وذلك بالاعتماد على أسماء مستعارة محددة بصورة ذاتية في عملية التوجيه.
Self-Training,A self-supervised learning method used in classification when the unlabeled data is more than labeled data.,تدريب ذاتي,طريقة تعلُّم ذاتي التوجيه تُستخدم في التصنيف عندما تكون البيانات غير المُسمَّاة أكثر من البيانات المُسمَّاة.
Semantic Chunking,"The process of dividing a large text into smaller, meaningful units based on their underlying meaning or context.",تقطيع دلالي,عملية تقسيم نص كبير إلى وحدات أصغر ذات معنى بناءً على معناها أو سياقها الأساسي.
Semantic Computing,"A computing field that focuses on understanding, representing, and processing data based on its meaning and context.",حوسبة دلالية,مجال حوسبي يركز على فهم البيانات وتمثيلها ومعالجتها بناءً على معناها وسياقها.
Semantic Mapping,The process of establishing meaningful relationships and connections between data elements from different sources.,هيكلة دلالية,عملية إنشاء علاقات وروابط ذات معنى بين عناصر البيانات من مصادر مختلفة.
Semantic Network,"See ""Knowledge Graph.""",شبكة دلالية,"انظر ""شبكة معرفية""."
Semantic Reasoner,A piece of software used to draw logical consequences from a set of confirmed facts and axioms.,مُستدِل دلالي,برمجيات تُستخدم لاستخلاص النتائج المنطقية من مجموعة من الحقائق والبديهيات المؤكدة.
Semantic Search,A search technique that understands the contextual meaning of a user's query to deliver more relevant and accurate results.,بحث دلالي,أسلوب بحث يفهم المعنى السياقي لاستعلام المستخدم لتقديم نتائج أكثر صلة ودقة.
Semantic Web,"An extension of the World Wide Web (ًWWW) to enable sharing and reusing data across applications by defining data stores, vocabularies, and rules to handle data.",ويب دلالي,امتداد لشبكة الويب العالمية لتمكين مشاركة البيانات وإعادة استخدامها عبر التطبيقات، عن طريق تحديد مخازن البيانات والمفردات وقواعد التعامل مع البيانات.
Semi-Structured Data,"The data that does not conform to a rigid structure but still has some organizational properties. Also called ""Partially Structured Data.""",بيانات شبه مهيكلة,"البيانات التي لا تخضع لهيكل ثابت، ولكن لها بعض الخصائص التنظيمية. ويُطلق عليها أيضًا ""بيانات مهيكلة جزئيًّا""."
Semi-Supervised Anomaly Detection,A technique used to identify unusual patterns within a dataset by using both labeled and unlabeled data.,اكتشاف الشذوذ شبه الموجَّه,أسلوب يُستخدم لتحديد الأنماط غير المعتادة داخل مجموعة البيانات باستخدام البيانات المُسمَّاة وغير المُسمَّاة.
Semi-Supervised Learning,A type of machine learning that leverages both labeled and unlabeled data for training.,تعلُّم شبه موجَّه,نوع من تعلُّم الآلة يستفيد من البيانات المُسمَّاة وغير المُسمَّاة للتدريب.
Sensitive Attribute,A human attribute that has a special consideration for some reasons.,سمة حساسة,سمة بشرية لها اعتبار خاص لبعض الأسباب.
Sensitive Data,The data that may have harmful effects if revealed or misused.,بيانات حساسة,بيانات قد يسبب إفشاؤها أو سوء استخدامها آثارًا ضارة.
Sensitivity,The rate of how a model correctly predicts positive labels when it is actually positive.,دقة الحساسية,معدل صحة تنبؤ النموذج للأسماء الإيجابية عندما تكون بالفعل كذلك.
Sensitivity Analysis,The process of evaluating how the output of a model is affected by changes in its input parameters.,تحليل الحساسية,عملية تقييم كيفية تأثر مخرجات النموذج بالتغيرات في المُعامِلات المُدْخَلة.
Sentiment Analysis,A process of using statistical or machine learning algorithms to determine feelings and opinions in a text or an image.,تحليل المشاعر,عملية استخدام الخوارزميات الإحصائية أو خوارزميات تعلُّم الآلة لتحديد المشاعر والآراء المضمنة في نص أو صورة.
Sequence Model,A model that has inputs with a sequential dependence.,نموذج تسلسلي,نموذج يشتمل على مُدْخَلات ذات اعتماد متسلسل.
Sequence-To-Sequence (Seq2Seq),A type of neural network architecture designed to transform one sequence of data into another.,تحويل تسلسل إلى تسلسل,نوع من معمارية الشبكة العصبية مصمم لتحويل تسلسل من البيانات إلى تسلسل آخر.
Service Robot,A robot that can perform useful tasks for humans or equipment except the industrial automation applications.,روبوت خدمي,روبوت يمكنه أداء مهام مفيدة للبشر أو المعدات باستثناء تطبيقات الأتمتة الصناعية.
Shallow Learning,A type of machine learning algorithms that typically have a single layer or a limited number of layers for learning and data representation.,تعلُّم سطحي,نوع من خوارزميات تعلُّم الآلة يحتوي عادةً على طبقة واحدة أو عدد محدود من الطبقات للتعلُّم وتمثيل البيانات.
Short-Term Memory,A memory that allows a model to retain and utilize information within the context of a single conversation or session.,ذاكرة قصيرة المدى,ذاكرة تُتيح للنموذج الاحتفاظ بالمعلومات واستخدامها في سياق محادثة أو جلسة واحدة.
Siamese Network,A neural network used for image classification by training two neural networks to learn simultaneously the similarity between images.,شبكة سيامية,شبكة عصبية تُستخدم لتصنيف الصور عن طريق تدريب شبكتين عصبيتين في وقت واحد لتعلُّم التشابه بين الصور.
Sigmoid Function,A function that maps the output of logistic or multinomial regression to probabilities with a value between 0 and 1.,دالة سيجمويد,دالة تُعيّن مخرجات الانحدار اللوجستي أو المتعدد الحدود إلى احتمالات قيمتها بين الصفر والواحد.
Signal Processing,"ِAn engineering field that focuses on analyzing and manipulating signals such as audios, images, and videos.",معالجة الإشارات,مجال هندسي يركز على تحليل الإشارات ومعالجتها، مثل: الصوتيات والصور والفيديوهات.
Silhouette Coefficient,A metric used to evaluate the quality of clustering by measuring how similar an object is to its cluster compared to other clusters.,مُعامِل الظل,مقياس يُستخدم لتقييم جودة التجميع، عن طريق قياس مدى تشابه الشيء مع مجموعته مقارنة بالمجموعات الأخرى.
Similarity Learning,A type of supervised machine learning that trains a metric to find the similarity between two objects.,تعلُّم التشابه,نوع من تعلُّم الآلة الموجَّه يُدرِّب مقياسًا للعثور على التشابه بين شيئين.
Similarity Measure,A metric used in clustering algorithms to evaluate how similar two examples are.,قياس التشابه,مقياس يُستخدم في خوارزميات التجميع لتقييم مدى تشابه مثالين.
Single Linkage,A clustering method that defines the distance between two clusters as the shortest distance between any two data points from each cluster.,ربط أحادي,طريقة تجميع تحدد المسافة بين مجموعتين، عن طريق أقصر مسافة بين أي نقطتي بيانات من كل مجموعة.
Singularity,"See ""Intelligence Explosion.""",تفرُّد,"انظر ""طفرة الذكاء""."
Small Language Model (SLM),A type of language model designed to operate with fewer parameters and computational resources compared to large language models (LLMs).,نموذج لغوي صغير,نوع من النماذج اللغوية مصمم للعمل بمُعامِلات وموارد حوسبية أقل مقارنة بالنماذج اللغوية الكبيرة.
Social Media Data,The data that the users publicly share on social media.,بيانات وسائل التواصل الاجتماعي,البيانات التي يشاركها المستخدمون علنًا على وسائل التواصل الاجتماعي.
Soft Computing,A set of computational techniques that deals with approximate models and provides effective solutions to complex problems.,حوسبة ناعمة,مجموعة من الأساليب الحوسبية التي تتعامل مع النماذج التقريبية، وتُقدِّم حلولًا فاعلة للمشكلات المعقدة.
Soft Prompting,A technique to enhance the output of a pre-trained model by adding non-textual embeddings to the input embeddings.,أوامر ناعمة,أسلوب لتحسين مخرجات نموذج مُدرَّب سابقًا، عن طريق إضافة تضمينات غير نصية إلى تضمينات المُدْخَلات.
Softmax,A function that gives a probability for each class in a multi-class classification model.,سوفت ماكس,دالة تعطي احتمالية لكل صنف في نموذج تصنيف متعدد الأصناف.
Software,A set of instructions that directs a computer to perform specific tasks.,برمجيات,مجموعة من التعليمات التي تُوجِّه الحاسب لأداء مهام محددة.
Software Development Kit (SDK),A set of software development tools that enable the creation of applications on a particular platform.,أدوات تطوير البرمجيات,مجموعة من أدوات تطوير البرمجيات التي تتيح إنشاء تطبيقات على منصة معينة.
Solomonoff Probability,"See ""Algorithmic Probability.""",احتمالية سولومونوف,"انظر ""احتمال خوارزمي""."
SPARQL Protocol and RDF Query Language (SPARQL),A query language for accessing and manipulating resource description framework data.,سباركل,لغة استعلام للوصول إلى بيانات إطار وصف الموارد ومعالجتها.
Sparse Feature,A feature vector that has mostly zero or empty values.,خاصية متناثرة,مُتَّجه خصائص تكون أغلب قيمه صفرية أو فارغة.
Sparse Representation,A representation that only contains non-zero elements.,تمثيل متناثر,تمثيل يشتمل فقط على عناصر غير صفرية.
Sparse Vector,A vector that has mostly zero values.,مُتَّجه متناثر,مُتَّجه تكون أغلب قيمه صفرية.
Sparsity,A concept in machine learning that describes a dataset or matrix where a large percentage of the values are zero.,تناثر,مفهوم في تعلُّم الآلة يصف مجموعة بيانات أو مصفوفة أكثر قيمها صفرية.
Spatial Analysis,The study of location-based data to discover patterns and insights.,تحليل مكاني,دراسة البيانات القائمة على الموقع لاكتشاف الأنماط والرؤى.
Spatial-Temporal Reasoning,An area of artificial intelligence that is concerned with the representation and reasoning about space and time like a human.,استدلال مكاني-زماني,مجال من مجالات الذكاء الاصطناعي يهتم بالتمثيل والاستدلال في المكان والزمان مثل الإنسان.
Specificity,"The rate of how a model correctly predicts negative labels when it is actually negative. Also called ""True Negative Rate (TPR).""",دقة التحديد,"معدل صحة تنبؤ النموذج للأسماء السلبية عندما تكون بالفعل كذلك. ويُطلق عليه أيضًا ""المعدل السلبي الصحيح""."
Speculative Decoding,An optimization technique that accelerates inferencing by predicting multiple tokens and validating them in parallel.,فك الترميز التخميني,أسلوب تحسين يُسرِّع الاستنتاج، عن طريق التنبؤ بالوحدات اللغوية والتحقق من صحتها بالتوازي.
Speech Analytics,"The process of analyzing audio recordings to extract insights from spoken language, such as keywords, emotions, and intent.",تحليلات الكلام,عملية تحليل التسجيلات الصوتية لاستخراج رؤى من اللغة المنطوقة، مثل الكلمات الرئيسة والعواطف والنوايا.
Speech Recognition,"The process of converting speech into text using algorithms. Also called ""Automatic Speech Recognition (ASR)"" or ""Speech-to-Text (STT).""",تعرُّف على الكلام,"عملية تحويل الكلام إلى نص باستخدام الخوارزميات. ويُطلق عليها أيضًا ""تعرُّف تلقائي على الكلام"" أو ""تحويل الكلام إلى نص""."
Speech Synthesis,"The process of generating artificial human speech. Also called ""Text-to-Speech (TTS).""",توليد الكلام,"عملية توليد الكلام البشري بطريقة اصطناعية. ويُطلق عليها أيضًا ""تحويل النص إلى كلام""."
Speech-to-Text (STT),"See ""Speech Recognition.""",تحويل الكلام إلى نص,"انظر ""تعرُّف على الكلام""."
Spiking Neural Network (SNN),A type of neural network that simulates the energy-efficient signal system of the brain where neurons communicate asynchronously through binary values.,شبكة عصبية نبضية,نوع من الشبكات العصبية التي تحاكي نظام الإشارات الموفر للطاقة في الدماغ، وتتواصل فيه الخلايا العصبية بطريقة غير متزامنة، عن طريق القيم الثنائية.
Squared Hinge Loss,The square of the Hinge Loss output that deals with outliers more strictly than the Hinge Loss.,مربع الخسارة المفصلية,مربع مُخرَج دالة الخسارة المفصلية الذي يتعامل مع القيم الشاذة بطريقة أكثر صرامة من دالة الخسارة المفصلية.
Squared Loss,"A loss function that measures the error between a model's predictions and the actual values by squaring the difference between them. Also called ""L2 Loss.""",مربع الخسارة,"دالة خسارة تقيس الخطأ بين تنبؤات النموذج والقيم الفعلية، عن طريق تربيع الفرق بينهما. ويُطلق عليها أيضًا ""خسارة إل 2""."
Stable Diffusion,A deep learning model that generates images from text descriptions by using a diffusion process.,نموذج الانتشار المستقر,نموذج تعلُّم عميق يُولِّد صورًا من أوصاف نصية باستخدام عملية تُعرَف بالانتشار.
Standard Classification,"See ""Classification.”",تصنيف قياسي,"انظر ""تصنيف""."
State-Action Value Function,"See ""Q-Function.""",دالة قيمة الحالة-الفعل,"انظر ""دالة كيو""."
Static Model,A model that is trained once on a fixed dataset and then remains unchanged.,نموذج ثابت,نموذج يُدرَّب مرة واحدة على مجموعة بيانات ثابتة ثم يظل دون تغيير.
Stationarity,A property of data that has a constant distribution over one or more dimensions.,ثبات,خاصية بيانات لها توزيع ثابت على بُعد واحد أو أكثر.
Statistical Classification,A supervised learning approach that trains a model to categorize new unlabeled data based on relevant labeled data.,تصنيف إحصائي,طريقة تعلُّم موجَّه لتدريب النماذج على تصنيف بيانات جديدة غير مُسمَّاة بناءً على بيانات ذات علاقة ومُسمَّاة.
Statistical Learning,The use of statistical tools to analyze and understand data.,تعلُّم إحصائي,استخدام الأدوات الإحصائية لتحليل البيانات وفهمها.
Statistical Relational Learning (SRL),A branch of machine learning that combines statistical learning and relational learning to treat uncertainty in data and handle complex relational structures.,تعلُّم علائقي إحصائي,فرع من تعلُّم الآلة يجمع بين التعلُّم الإحصائي والتعلُّم العلائقي لمعالجة عدم التيقن في البيانات والتعامل مع الهياكل العلائقية المعقدة.
Stemming,The process of reducing words to their base form by removing prefixes and suffixes.,تجذيع,عملية إعادة الكلمات إلى شكلها الأساسي، عن طريق إزالة السوابق واللواحق.
Step Size,"See ""Learning Rate.""",حجم الخطوة,"انظر ""معدل التعلُّم""."
Step-Back Prompting,A prompt engineering technique that enables a model to identify relevant high-level concepts or principles and use them to derive the correct response.,أوامر الرجوع إلى العموم,أسلوب في هندسة الأوامر يُمكِّن النموذج من تحديد المفاهيم أو المبادئ العامة ذات الصلة، واستخدامها لاستخلاص الاستجابات الصحيحة.
Stochastic Gradient Descent (SGD),A gradient descent algorithm that has a batch size of one.,نزول تدرجي عشوائي,خوارزمية نزول تدرجي يكون حجم الحُزمة فيها واحدًا.
Stochastic Optimization (SO),A collection of methods to minimize or maximize an objective function with random variables.,تحسين عشوائي,مجموعة من الطُّرُق لتقليل دالة الهدف أو تعظيمها باستخدام متغيرات عشوائية.
Stochastic Semantic Analysis,An approach used as a semantic component in natural language understanding.,تحليل دلالي عشوائي,طريقة تُستخدم كمُكوِّن دلالي في فهم اللغات الطبيعية.
Streaming Data,The data that is arriving from a continuous operating source.,بيانات متدفقة,بيانات تصل من مصدر يعمل بصفة مستمرة.
Strong Artificial Intelligence,See “Artificial General Intelligence (AGI).”,ذكاء اصطناعي قوي,"انظر ""ذكاء عام اصطناعي""."
Structural Risk Minimization (SRM),An inductive principle used to address overfitting by balancing between training data fitness and model complexity.,تقليل المخاطر الهيكلي,مبدأ استقرائي يُستخدم لمعالجة فرط التخصيص، عن طريق الموازنة بين ملاءمة بيانات التدريب وتعقيد النموذج.
Structured Data,The data that is organized in a predefined manner according to a set of rules.,بيانات مهيكلة,بيانات منظمة بطريقة محددة سابقًا، وفقًا لمجموعة من القواعد.
Structured Query Language (SQL),A standardized query language used in relational databases to define and manipulate data.,لغة الاستعلام المهيكلة,لغة استعلام موحدة تُستخدم في قواعد البيانات العلائقية لتعريف البيانات وإدارتها.
Subsampling,A technique to reduce the data size by choosing a subset of the original data.,أخذ عيِّنات جزئية,أسلوب لتقليل حجم البيانات باختيار مجموعة فرعية من البيانات الأصلية.
Subsymbolic Artificial Intelligence,A branch of artificial intelligence concerned with learning through the use of implicit information and numeric representation.,ذكاء اصطناعي شبه ترميزي,فرع من فروع الذكاء الاصطناعي يهتم بالتعلُّم، عن طريق استخدام المعلومات الضمنية والتمثيل الرقمي.
Sum of Squared Residuals (SSR),"See ""Residual Sum of Squares (RSS).""",مجموع المتبقيات المربعة,"انظر ""مجموع المربعات المتبقية""."
Superintelligence,"A hypothetical AI that can far surpass human ability. Also called ""Artificial Superintelligence (ASI).""",ذكاء خارق,"ذكاء اصطناعي افتراضي يمكنه تجاوز القدرات البشرية. ويُطلق عليه أيضًا ""ذكاء اصطناعي خارق""."
Supervised Fine-Tuning (SFT),An approach to adapt a pre-trained model to a specific task by further training it on labeled data.,ضبط دقيق موجَّه,طريقة لتكييف نموذج مُدرَّب سابقًا على مهمة محددة، عن طريق تدريبه على بيانات مُسمَّاة.
Supervised Learning,A type of machine learning that uses a labeled dataset to train a model for prediction or classification.,تعلُّم موجَّه,نوع من تعلُّم الآلة يستخدم مجموعة بيانات مُسمّاة لتدريب نموذج للتنبؤ أو التصنيف.
Support Vector Machine (SVM),A supervised machine learning model used in data classification and regression analysis to find decision boundaries with maximal margins.,آلة المُتَّجهات الداعمة,نموذج تعلُّم آلة موجَّه يُستخدم في تصنيف البيانات وتحليل الانحدار؛ لإيجاد حدود قرار ذات هوامش قصوى.
Support Vectors,The data points that are closest to the hyperplane.,مُتَّجهات داعمة,نقاط البيانات الأقرب إلى المستوى المتعدد الأبعاد.
Swarm Intelligence (SI),A field that focuses on the collective behavior of elements that coordinate using decentralized and self-organized systems.,ذكاء السرب,مجال يركز على السلوك الجماعي للعناصر التي تتفاعل فيما بينها، باستخدام أنظمة لا مركزية وذاتية التنظيم.
Swarm Robotics,A field of robotics that focuses on coordinating large groups of autonomous robots to work together collectively without centralized control.,علم الروبوتات السربية,مجال في علم الروبوتات يركز على تنسيق المجموعات الكبيرة من الروبوتات الذاتية التحكم للعمل معًا بصورة جماعية دون تحكم مركزي.
Symbolic Artificial Intelligence,A branch of artificial intelligence concerned with representing human knowledge in explicit facts and rules.,ذكاء اصطناعي ترميزي,فرع من فروع الذكاء الاصطناعي يهتم بتمثيل المعرفة البشرية في حقائق وقواعد صريحة.
Synapse,"The connection between neurons (nodes) in an artificial neural network. Also called ""Artificial Synapse.""",ناقل عصبي,"الرابط بين الخلايا العصبية (العقد) في الشبكة العصبية الاصطناعية. يُطلق عليه أيضًا ""ناقل عصبي اصطناعي""."
Synthetic Data,Artificially generated data that is created using algorithms or simulations to mimic real-world data.,بيانات مصطنعة,البيانات التي تُنشأ بشكل اصطناعي باستخدام خوارزميات أو عمليات محاكاة لتقليد بيانات العالم الحقيقي.
Synthetic Feature,A feature generated from one or more input features.,خاصية مصطنعة,خاصية ولَّدتها واحدة أو أكثر من خصائص المُدْخَلات.
System,A set of elements that interact with each other to achieve specific goals.,نظام,مجموعة من العناصر التي تتفاعل مع بعضها لتحقيق أهداف محددة.
System Message,"See ""Metaprompt.""",رسائل النظام,"انظر ""أوامر وصفية""."
System Prompt,"See ""Metaprompt.""",أوامر النظام,"انظر ""أوامر وصفية""."
Tabular Q-Learning,A way in reinforcement learning for storing the Q-functions in a table for each combination of state and action.,خوارزمية كيو مُجَدْوَلَة,طريقة في التعلُّم التعزيزي لتخزين دوال كيو في جدول لكل مجموعة من الحالات والأفعال.
Target Network,A copy of a neural network used in reinforcement learning and updated less frequently to stabilize learning and improve the accuracy of value estimation.,شبكة الهدف,نسخة من شبكة عصبية تُستخدم في التعلُّم التعزيزي وتُحدَّث بوتيرة أقل لتحقيق استقرار التعلُّم وتحسين دقة تقدير القيم.
Targeted Advertising (or Targeted Ads),"See ""Ad Targeting.""",إعلان موجَّه,"انظر ""توجيه الإعلانات""."
Technological Singularity,"See ""Intelligence Explosion.""",تفرُّد تقني,"انظر ""طفرة الذكاء""."
Temporal Data,The data that is captured at different times.,بيانات زمنية,البيانات التي تُجمّع في أوقات مختلفة.
Temporal Difference (TD) Learning,An unsupervised learning technique used in reinforcement learning in which an agent learns to predict the value of a variable at the end of a sequence of states.,تعلُّم الفرق الزمني,أسلوب تعلُّم غير موجَّه في التعلُّم التعزيزي، يتعلَّم فيه الوكيل التنبؤ بقيمة متغير في نهاية تسلسل من الحالات.
Tensor,A multi-dimensional array of numerical values used to represent data.,تينسر,مصفوفة متعددة الأبعاد من القيم الرقمية المستخدمة لتمثيل البيانات.
Tensor Degree,"See ""Tensor Rank.""",درجة تينسر,"انظر ""رتبة تينسر""."
Tensor Network Theory (TNT),A numerical approach that provides an effective storing and processing of high-dimensional data.,نظرية شبكة تينسر,طريقة رقمية توفر تخزينًا ومعالجة فاعلة للبيانات الكثيرة الأبعاد.
Tensor Order,"See ""Tensor Rank.""",مرتبة تينسر,"انظر ""رتبة تينسر""."
Tensor Processing Unit (TPU),A custom-designed integrated circuit developed by Google specifically for accelerating machine learning tasks.,وحدة معالجة تينسر,دائرة متكاملة طورتها شركة جوجل مصممة خصيصًا لتسريع مهام تعلُّم الآلة.
Tensor Rank,"The number of dimensions in a tensor. Also called ""Tensor Order"" or ""Tensor Degree.""",رتبة تينسر,"عدد الأبعاد في تينسر. ويُطلق عليه أيضًا ""مرتبة تينسر"" أو ""درجة تينسر""."
Tensor Shape,The number of elements contained in the dimensions of a tensor.,شكل تينسر,عدد العناصر الموجودة في أبعاد تينسر.
Tensor Size,The total number of elements in a tensor.,حجم تينسر,العدد الإجمالي للعناصر في تينسر.
Tensorflow,An open-source platform developed by Google for machine learning applications.,تينسرفلو,منصة مفتوحة المصدر طورتها شركة جوجل لتطبيقات تعلُّم الآلة.
Term Frequency-Inverse Document Frequency (TF-IDF),A measure to evaluate the importance of a word in a document relative to a collection of documents.,تكرار المصطلح ومعكوس تكرار المستند,مقياس لتقييم أهمية الكلمة في مستند بالنسبة لمجموعة من المستندات.
"Test Dataset (or Test Data, Test Set)","The data used to evaluate the performance of a machine learning model after the training and validation phases. Also called ""Evaluation Data.""",بيانات الاختبار (أو مجموعة الاختبار),"البيانات المستخدمة لتقييم أداء نموذج تعلُّم الآلة بعد مرحلتي التدريب والتحقق. ويُطلق عليها أيضًا ""بيانات التقييم""."
Testing Error,The error that occurs when running a model on new data.,خطأ الاختبار,الخطأ الذي يحدث عند تشغيل نموذج على بيانات جديدة.
Testing Example,An example in a testing dataset that consists of one or more features and sometimes a label.,مثال اختبار,مثال من بيانات الاختبار يتكون من خاصية واحدة أو أكثر، وقد يحوي اسمًا أيضًا.
Text Analytics,"See ""Text Mining.""",تحليلات النصوص,"انظر ""تنقيب في النصوص""."
Text Mining,"The process of applying data mining techniques to extract patterns and insights from textual documents. Also called ""Text Analytics.""",تنقيب في النصوص,"عملية تطبيق أساليب التنقيب في البيانات لاستخراج الأنماط والرؤى من المستندات النصية. ويُطلق عليها أيضًا ""تحليلات النصوص""."
Text Summarization,The process of automatically creating a shorter version of a long text while preserving its key points.,تلخيص النصوص,عملية إنشاء نسخة مختصرة من نص طويل بطريقة تلقائية، مع الحفاظ على نقاطه الرئيسة.
Text Tokenization,The process of dividing up text into smaller units called tokens.,تقسيم النصوص,عملية تقسيم النص إلى وحدات صغيرة تُسمَّى وحدات لغوية.
Text-to-Speech (TTS),"See ""Speech Synthesis.""",تحويل النص إلى كلام,"انظر ""توليد الكلام""."
